City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Nantucket,US,83.25,broken clouds,41.2835,-70.0995,Jared Coffin House
9,Wilmington,US,88.95,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
12,Banjul,GM,82.72,broken clouds,13.45,-16.5833,Laico Atlantic Banjul
27,Jamestown,US,85.17,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Taft,IR,87.75,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
35,Hilo,US,81.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Bodden Town,KY,89.98,scattered clouds,19.2833,-81.25,Will T Place
37,Bethel,US,84.47,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
40,Alenquer,BR,88.14,overcast clouds,-1.9417,-54.7383,Josilene Castro
47,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Pleasanton,US,89.83,smoke,37.6624,-121.8747,Four Points by Sheraton Pleasanton
54,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
64,Paola,IT,85.69,clear sky,39.3599,16.0396,Blumentag
78,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
86,Butaritari,KI,82.99,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
88,Palmer,US,86.4,broken clouds,42.1584,-72.3287,Wedgewood Motel
105,Cagliari,IT,82.49,clear sky,39.245,9.0912,Holiday Inn Cagliari
108,Erzin,TR,83.12,clear sky,36.9559,36.2,Artemis Otel
110,Shingu,JP,82.9,overcast clouds,33.7333,135.9833,Shingu UI Hotel
122,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Victoria,HK,85.32,moderate rain,22.2855,114.1577,Mini Hotel Central
129,Kudahuvadhoo,MV,82.89,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
130,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
136,Tonantins,BR,83.25,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
144,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
146,Bemidji,US,81.14,broken clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
150,Zhuhai,CN,85.05,light intensity shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
152,Kalaleh,IR,88.45,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
163,Jieshi,CN,81.48,overcast clouds,22.8134,115.8257,Yuehai Hotel
169,Muli,MV,83.01,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
171,Clinton,US,88.2,mist,42.587,-82.9199,Hampton Inn Detroit/Roseville
174,Tateyama,JP,84.22,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
176,Saint Peter,BB,86.56,overcast clouds,13.25,-59.6167,Legend Garden Condos
177,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
179,Hami,CN,82.67,overcast clouds,42.8,93.45,Laoyutang Resort
188,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
