City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.09,81,18,19.73,light rain
1,Saskylakh,RU,71.9167,114.0833,59.7,64,100,5.14,overcast clouds
2,Vaini,TO,-21.2,-175.2,60.96,100,75,0.0,broken clouds
3,Port Alfred,ZA,-33.5906,26.891,61.84,84,100,17.83,overcast clouds
4,Nantucket,US,41.2835,-70.0995,83.25,70,75,5.75,broken clouds
5,Esperance,AU,-33.8667,121.9,60.64,79,2,17.18,clear sky
6,Sisimiut,GL,66.9395,-53.6735,43.2,83,98,4.81,overcast clouds
7,Te Anau,NZ,-45.4167,167.7167,30.49,95,89,0.63,overcast clouds
8,Mgandu,TZ,-5.95,34.1333,71.1,40,100,6.4,overcast clouds
9,Wilmington,US,34.2257,-77.9447,88.95,71,75,9.22,broken clouds
10,Dubbo,AU,-32.25,148.6167,50.13,81,75,13.8,broken clouds
11,Airai,TL,-8.9266,125.4092,54.0,88,30,1.41,scattered clouds
12,Banjul,GM,13.45,-16.5833,82.72,83,75,8.05,broken clouds
13,Prince George,CA,53.9166,-122.753,71.26,49,1,1.99,clear sky
14,Puerto Ayora,EC,-0.7393,-90.3518,73.36,84,56,5.01,broken clouds
15,Aykhal,RU,66.0,111.5,47.48,87,3,3.89,clear sky
16,Saint George,US,37.1041,-113.5841,102.67,13,0,1.99,clear sky
17,Pevek,RU,69.7008,170.3133,37.24,83,14,10.87,few clouds
18,Yoichi,JP,43.2039,140.7703,74.79,86,100,3.24,overcast clouds
19,Avarua,CK,-21.2078,-159.775,75.25,69,75,3.44,broken clouds
20,Hobart,AU,-42.8794,147.3294,45.1,89,21,11.5,few clouds
21,Busselton,AU,-33.65,115.3333,53.1,69,100,23.33,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,56.64,62,44,10.47,scattered clouds
23,Codrington,AU,-38.2667,141.9667,45.03,75,100,9.89,overcast clouds
24,Bambous Virieux,MU,-20.3428,57.7575,69.22,100,75,3.44,light rain
25,Umm Lajj,SA,25.0213,37.2685,92.12,43,0,1.57,clear sky
26,Saldanha,ZA,-33.0117,17.9442,57.25,91,100,14.05,moderate rain
27,Jamestown,US,42.097,-79.2353,85.17,58,1,3.0,clear sky
28,Hermanus,ZA,-34.4187,19.2345,58.8,92,100,21.54,moderate rain
29,Taft,IR,31.7471,54.2088,87.75,13,20,6.91,few clouds
30,Khatanga,RU,71.9667,102.5,53.78,64,100,12.68,overcast clouds
31,Wenling,CN,28.3669,121.36,78.22,85,57,2.91,broken clouds
32,Nkhotakota,MW,-12.9274,34.2961,69.39,58,0,4.32,clear sky
33,New Norfolk,AU,-42.7826,147.0587,44.74,85,31,2.68,scattered clouds
34,Tasiilaq,GL,65.6145,-37.6368,44.76,96,100,17.25,light rain
35,Hilo,US,19.7297,-155.09,81.25,73,90,4.61,overcast clouds
36,Bodden Town,KY,19.2833,-81.25,89.98,71,40,8.99,scattered clouds
37,Bethel,US,41.3712,-73.414,84.47,70,1,8.05,light rain
38,Nikolskoye,RU,59.7035,30.7861,66.09,95,99,4.52,overcast clouds
39,Gwanda,ZW,-20.9333,29.0,58.71,47,0,3.36,clear sky
40,Alenquer,BR,-1.9417,-54.7383,88.14,38,100,5.01,overcast clouds
41,Rikitea,PF,-23.1203,-134.9692,74.37,75,2,12.26,clear sky
42,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,76,90,10.36,overcast clouds
43,Bluff,NZ,-46.6,168.3333,35.8,63,89,10.65,overcast clouds
44,Le Port,RE,-20.9373,55.2919,68.0,74,1,1.01,clear sky
45,Ballina,AU,-28.8667,153.5667,58.96,63,75,9.22,broken clouds
46,Kodiak,US,57.79,-152.4072,60.31,72,75,4.61,light rain
47,Hithadhoo,MV,-0.6,73.0833,80.71,76,100,4.38,overcast clouds
48,Tiksi,RU,71.6872,128.8694,47.26,81,61,3.38,broken clouds
49,Hanmer Springs,NZ,-42.5167,172.8167,29.95,98,96,3.42,snow
50,Pleasanton,US,37.6624,-121.8747,89.83,43,1,1.01,smoke
