City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-08-06 00:14:10,-46.1927,168.8643,48.47,74,34,1.43
1,Jamestown,US,2021-08-06 00:14:11,42.097,-79.2353,74.52,68,1,6.91
2,Santa Rita,BR,2021-08-06 00:14:11,-7.1139,-34.9781,72.27,100,0,9.22
3,Rikitea,PF,2021-08-06 00:12:21,-23.1203,-134.9692,74.21,74,39,16.28
4,Cape Town,ZA,2021-08-06 00:10:48,-33.9258,18.4232,56.12,96,90,2.3
5,Busselton,AU,2021-08-06 00:14:11,-33.65,115.3333,52.47,80,0,8.59
6,Belgrade,RS,2021-08-06 00:14:12,44.804,20.4651,64.06,83,40,11.5
7,Albany,US,2021-08-06 00:12:25,42.6001,-73.9662,74.05,79,52,2.35
8,Los Llanos De Aridane,ES,2021-08-06 00:14:12,28.6585,-17.9182,68.13,96,75,16.11
9,Kapaa,US,2021-08-06 00:14:12,22.0752,-159.319,84.52,75,40,5.01
10,Cayenne,GF,2021-08-06 00:14:13,4.9333,-52.3333,78.84,89,71,0.0
11,Carnarvon,AU,2021-08-06 00:14:13,-24.8667,113.6333,55.47,34,0,10.36
12,Iqaluit,CA,2021-08-06 00:14:13,63.7506,-68.5145,44.33,70,90,5.75
13,Hermanus,ZA,2021-08-06 00:14:13,-34.4187,19.2345,55.9,87,9,8.84
14,Aklavik,CA,2021-08-06 00:14:14,68.2191,-135.0107,60.03,44,49,20.8
15,Kodiak,US,2021-08-06 00:14:14,57.79,-152.4072,58.51,82,90,4.61
16,Balingasay,PH,2021-08-06 00:14:14,16.3573,119.8564,82.71,83,98,24.29
17,Chuy,UY,2021-08-06 00:14:14,-33.6971,-53.4616,57.45,91,97,10.67
18,Udachnyy,RU,2021-08-06 00:14:15,66.4167,112.4,60.3,45,1,16.78
19,Vaini,TO,2021-08-06 00:14:15,-21.2,-175.2,72.54,60,100,9.04
20,Nome,US,2021-08-06 00:12:58,64.5011,-165.4064,65.16,76,90,19.57
21,Butaritari,KI,2021-08-06 00:14:15,3.0707,172.7902,83.34,64,11,12.77
22,Naze,JP,2021-08-06 00:14:16,28.3667,129.4833,78.13,90,94,23.94
23,Noshiro,JP,2021-08-06 00:14:16,40.2039,140.0242,86.99,62,4,2.19
24,Yellowknife,CA,2021-08-06 00:13:51,62.456,-114.3525,64.29,51,99,6.6
25,Isangel,VU,2021-08-06 00:14:16,-19.55,169.2667,74.01,78,86,11.05
26,Izazi,TZ,2021-08-06 00:14:16,-7.2,35.7333,67.08,70,0,3.06
27,Hobart,AU,2021-08-06 00:11:12,-42.8794,147.3294,58.86,51,40,10.0
28,Dikson,RU,2021-08-06 00:14:17,73.5069,80.5464,50.88,90,2,5.26
29,Beringovskiy,RU,2021-08-06 00:12:17,63.05,179.3167,49.44,84,95,6.53
30,Vicksburg,US,2021-08-06 00:14:17,32.3526,-90.8779,84.7,60,1,4.61
31,Hithadhoo,MV,2021-08-06 00:14:17,-0.6,73.0833,80.24,76,99,4.65
32,Ribeira Grande,PT,2021-08-06 00:14:18,38.5167,-28.7,73.51,90,14,13.56
33,Nikolskoye,RU,2021-08-06 00:14:18,59.7035,30.7861,57.79,82,98,1.7
34,Eluru,IN,2021-08-06 00:14:18,16.7,81.1,84.29,76,100,8.05
35,Ulmu,RO,2021-08-06 00:14:18,44.95,27.3167,73.72,76,94,4.14
36,Port Alfred,ZA,2021-08-06 00:14:19,-33.5906,26.891,61.39,90,9,10.76
37,Barrow,US,2021-08-06 00:11:18,71.2906,-156.7887,39.22,74,90,19.57
38,East London,ZA,2021-08-06 00:14:19,-33.0153,27.9116,63.45,89,40,7.78
39,Nsanje,MW,2021-08-06 00:14:19,-16.92,35.262,64.62,87,0,2.48
40,Trussville,US,2021-08-06 00:14:20,33.6198,-86.6089,82.33,79,75,3.44
41,San Lorenzo,PY,2021-08-06 00:14:20,-25.3333,-57.5333,63.18,57,87,6.4
42,Lulea,SE,2021-08-06 00:14:20,65.5842,22.1547,57.27,77,99,3.44
43,Bafra,TR,2021-08-06 00:14:20,41.5678,35.9069,69.58,66,0,4.74
44,Lodwar,KE,2021-08-06 00:14:21,3.1191,35.5973,81.9,42,64,17.92
45,Kirakira,SB,2021-08-06 00:14:21,-10.4544,161.9205,82.56,57,7,4.45
46,Kruisfontein,ZA,2021-08-06 00:14:21,-34.0033,24.7314,56.88,94,100,2.17
47,Ushuaia,AR,2021-08-06 00:14:22,-54.8,-68.3,40.66,70,20,6.91
48,New Norfolk,AU,2021-08-06 00:14:22,-42.7826,147.0587,58.5,59,96,8.99
49,Karlskrona,SE,2021-08-06 00:14:22,56.1616,15.5866,54.05,90,66,9.04
50,Cabo San Lucas,MX,2021-08-06 00:14:23,22.8909,-109.9124,87.51,71,75,5.01
51,Port Elizabeth,ZA,2021-08-06 00:14:23,-33.918,25.5701,59.09,90,67,4.32
52,Upernavik,GL,2021-08-06 00:14:23,72.7868,-56.1549,44.2,70,20,4.81
53,Cherskiy,RU,2021-08-06 00:14:23,68.75,161.3,57.58,60,50,3.15
54,Dukat,RU,2021-08-06 00:14:24,62.55,155.55,37.51,100,100,8.95
55,Agnibilekrou,CI,2021-08-06 00:14:24,7.1344,-3.2047,69.78,99,92,3.53
56,Kismayo,SO,2021-08-06 00:10:13,-0.3582,42.5454,75.45,77,47,15.48
57,Le Vauclin,MQ,2021-08-06 00:14:24,14.5452,-60.8388,80.85,83,90,10.36
58,Asau,RO,2021-08-06 00:14:25,46.4333,26.4,65.39,95,99,6.38
59,Bandarbeyla,SO,2021-08-06 00:14:25,9.4942,50.8122,77.14,75,87,29.15
60,Muisne,EC,2021-08-06 00:14:25,0.6,-80.0333,75.45,85,83,9.84
61,Karratha,AU,2021-08-06 00:14:25,-20.7377,116.8463,67.62,28,27,23.0
62,Saskylakh,RU,2021-08-06 00:12:12,71.9167,114.0833,56.8,48,13,9.78
63,Kattivakkam,IN,2021-08-06 00:14:26,13.2167,80.3167,82.49,69,100,13.15
64,Hilo,US,2021-08-06 00:14:00,19.7297,-155.09,82.13,75,75,10.36
65,Atuona,PF,2021-08-06 00:14:26,-9.8,-139.0333,77.95,73,23,13.69
66,Unity,CA,2021-08-06 00:14:26,52.4501,-109.1682,87.26,24,51,12.01
67,Georgetown,MY,2021-08-06 00:10:03,5.4112,100.3354,79.9,83,20,3.44
68,Iquitos,PE,2021-08-06 00:14:27,-3.7481,-73.2472,78.84,78,0,0.0
69,Vardo,NO,2021-08-06 00:14:27,70.3705,31.1107,50.05,83,53,1.32
70,Lebu,CL,2021-08-06 00:14:27,-37.6167,-73.65,51.58,83,100,10.87
71,Pevek,RU,2021-08-06 00:14:27,69.7008,170.3133,38.97,93,100,4.09
72,Vila,PT,2021-08-06 00:14:28,42.0304,-8.1588,54.48,85,14,1.39
73,Arlit,NE,2021-08-06 00:14:28,18.7369,7.3853,90.52,39,28,10.33
74,Sitka,US,2021-08-06 00:11:32,57.0531,-135.33,64.29,72,90,8.05
75,Geraldton,AU,2021-08-06 00:14:28,-28.7667,114.6,46.81,76,0,18.41
76,Tallahassee,US,2021-08-06 00:09:34,30.4383,-84.2807,78.89,92,90,4.61
77,Sechura,PE,2021-08-06 00:14:29,-5.5569,-80.8222,68.31,72,4,16.49
78,Qaqortoq,GL,2021-08-06 00:14:29,60.7167,-46.0333,48.7,96,100,2.21
79,Pozo Colorado,PY,2021-08-06 00:14:29,-23.4923,-58.7972,68.81,32,100,5.95
80,Lima,PE,2021-08-06 00:11:49,-12.0432,-77.0282,61.14,77,90,12.66
81,Nioro,GM,2021-08-06 00:14:30,13.35,-15.75,77.4,88,66,4.79
82,Meulaboh,ID,2021-08-06 00:14:30,4.1363,96.1285,75.7,81,89,5.64
83,Progreso,MX,2021-08-06 00:14:16,21.2833,-89.6667,81.1,79,0,16.75
84,Punta Arenas,CL,2021-08-06 00:14:30,-53.15,-70.9167,39.31,81,90,9.22
85,Lingolsheim,FR,2021-08-06 00:14:30,48.5575,7.6825,64.06,94,75,5.75
86,Khatanga,RU,2021-08-06 00:14:31,71.9667,102.5,65.77,38,78,12.03
87,Pisco,PE,2021-08-06 00:14:31,-13.7,-76.2167,61.02,88,0,19.57
88,Henties Bay,NA,2021-08-06 00:14:31,-22.116,14.2845,53.85,86,6,6.49
89,Bredasdorp,ZA,2021-08-06 00:14:32,-34.5322,20.0403,55.27,96,68,4.76
90,Sao Filipe,CV,2021-08-06 00:14:32,14.8961,-24.4956,78.3,90,99,9.13
91,Norman Wells,CA,2021-08-06 00:14:32,65.282,-126.8329,75.29,44,76,3.06
92,Victoria,HK,2021-08-06 00:14:33,22.2855,114.1577,84.33,94,100,1.01
93,Leh,IN,2021-08-06 00:14:34,34.1667,77.5833,58.17,59,44,5.57
94,San Rafael,AR,2021-08-06 00:14:34,-34.6177,-68.3301,62.67,29,25,10.69
95,Maningrida,AU,2021-08-06 00:14:34,-12.0667,134.2667,74.16,39,87,16.75
96,Bambous Virieux,MU,2021-08-06 00:14:34,-20.3428,57.7575,66.22,73,92,14.2
97,Nouadhibou,MR,2021-08-06 00:14:35,20.931,-17.0347,69.98,87,4,25.66
98,Emerald,AU,2021-08-06 00:14:35,-23.5333,148.1667,62.35,44,61,18.01
99,Dingle,PH,2021-08-06 00:14:35,10.9995,122.6711,83.84,73,48,11.81
100,Wuchang,CN,2021-08-06 00:14:36,44.9143,127.15,71.33,89,100,8.84
101,Thompson,CA,2021-08-06 00:14:36,55.7435,-97.8558,71.85,26,38,5.95
102,Mahebourg,MU,2021-08-06 00:14:36,-20.4081,57.7,66.25,74,84,14.27
103,Tukrah,LY,2021-08-06 00:14:36,32.5341,20.5791,84.27,50,0,5.91
104,Port Lincoln,AU,2021-08-06 00:14:37,-34.7333,135.8667,56.53,73,100,7.92
105,Kaitangata,NZ,2021-08-06 00:14:37,-46.2817,169.8464,51.93,71,39,4.21
106,Marystown,CA,2021-08-06 00:11:09,47.1666,-55.1483,60.49,91,84,6.08
107,Kidal,ML,2021-08-06 00:14:37,18.4411,1.4078,76.82,68,65,24.74
108,Paraiso,CR,2021-08-06 00:14:37,9.8383,-83.8656,66.42,98,100,1.95
109,Jiaxing,CN,2021-08-06 00:14:38,30.7522,120.75,84.22,83,13,10.07
110,Ponta Delgada,PT,2021-08-06 00:14:38,37.7333,-25.6667,72.32,100,40,13.8
